raw_marker_or_region,normalized_marker_or_region,component_markers,attached_bone,attached_bone_canonical,marker_family,related_joint_family,candidate_layer2_links,candidate_layer2_link_ids,mapping_source,mapping_status,candidate_mapping_level,included_in_review,review_note
671:RElbowOut,RElbowOut,,671_RUArm,RUArm,elbow_forearm,right_elbow_forearm,J029 RUArm->RFArm; J051 RShoulder->RUArm,J029; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RFArm,RFArm,,671_RFArm,RFArm,shoulder_upper_arm,right_shoulder_arm,J029 RUArm->RFArm; J031 RFArm->RHand,J029; J031,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RHandIn,RHandIn,,671_RHand,RHand,wrist_hand,right_wrist_hand,J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J047 RHand->RThumb1,J031; J032; J035; J038; J041; J047,datadescriptions,mapped,bone_adjacency_candidate,True,
RHandIn__RHandOut,RHandIn__RHandOut,RHandIn; RHandOut,mixed,mixed,wrist_hand,right_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J029 RUArm->RFArm; J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J045 Chest->RShoulder; J046 671->RThigh; J047 RHand->RThumb1; J051 RShoulder->RUArm,J001; J002; J003; J021; J022; J028; J029; J031; J032; J035; J038; J041; J045; J046; J047; J051,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
RHandIn__RWristOut,RHandIn__RWristOut,RHandIn; RWristOut,mixed,mixed,wrist_hand,right_wrist_hand,J001 Root->671; J002 671->Ab; J003 Ab->Chest; J021 Chest->LShoulder; J022 671->LThigh; J028 Chest->Neck; J029 RUArm->RFArm; J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J045 Chest->RShoulder; J046 671->RThigh; J047 RHand->RThumb1; J051 RShoulder->RUArm,J001; J002; J003; J021; J022; J028; J029; J031; J032; J035; J038; J041; J045; J046; J047; J051,datadescriptions,mapped,segment_pair_regional,True,"regional pair, not exact link evidence"
671:RHandOut,RHandOut,,671_RHand,RHand,wrist_hand,right_wrist_hand,J031 RFArm->RHand; J032 RHand->RIndex1; J035 RHand->RMiddle1; J038 RHand->RPinky1; J041 RHand->RRing1; J047 RHand->RThumb1,J031; J032; J035; J038; J041; J047,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RShoulderBack,RShoulderBack,,671_RShoulder,RShoulder,torso_chest_back,right_trunk_chest,J045 Chest->RShoulder; J051 RShoulder->RUArm,J045; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RShoulderTop,RShoulderTop,,671_RShoulder,RShoulder,shoulder_upper_arm,right_shoulder_arm,J045 Chest->RShoulder; J051 RShoulder->RUArm,J045; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RUArmHigh,RUArmHigh,,671_RUArm,RUArm,shoulder_upper_arm,right_shoulder_arm,J029 RUArm->RFArm; J051 RShoulder->RUArm,J029; J051,datadescriptions,mapped,bone_adjacency_candidate,True,
671:RWristOut,RWristOut,,671_RFArm,RFArm,wrist_hand,right_wrist_hand,J029 RUArm->RFArm; J031 RFArm->RHand,J029; J031,datadescriptions,mapped,bone_adjacency_candidate,True,
