relative_path,size_bytes,size_mb,extension,top_level_folder,modified_time,likely_category,tracked_by_git,notes
Layer3_JcvPCA/references/JcvPCA and JsvCRP.pdf,3907663,3.7266,.pdf,Layer3_JcvPCA,2026-06-26 12:33:05,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/.DS_Store,10244,0.0098,(none),Layer3_JcvPCA,2026-06-23 22:50:31,temporary_cache,no,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_60_1.csv,139611,0.1331,.csv,Layer3_JcvPCA,2022-05-05 18:37:39,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_60_2.csv,131078,0.125,.csv,Layer3_JcvPCA,2022-05-05 18:37:42,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_60_3.csv,116553,0.1112,.csv,Layer3_JcvPCA,2022-05-05 18:37:45,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_50_1.csv,138543,0.1321,.csv,Layer3_JcvPCA,2022-05-05 18:37:31,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_50_3.csv,120603,0.115,.csv,Layer3_JcvPCA,2022-05-05 18:37:36,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_50_2.csv,134837,0.1286,.csv,Layer3_JcvPCA,2022-05-05 18:37:34,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_70_3.csv,154889,0.1477,.csv,Layer3_JcvPCA,2022-05-05 18:37:54,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_70_2.csv,141385,0.1348,.csv,Layer3_JcvPCA,2022-05-05 18:37:51,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Shoulder_Only/data_nat_epaule_70_1.csv,151245,0.1442,.csv,Layer3_JcvPCA,2022-05-05 18:37:48,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_60_3.csv,290976,0.2775,.csv,Layer3_JcvPCA,2022-05-05 18:36:27,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_60_2.csv,299846,0.286,.csv,Layer3_JcvPCA,2022-05-05 18:36:22,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_60_1.csv,328365,0.3132,.csv,Layer3_JcvPCA,2022-05-05 18:36:16,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_70_1.csv,266415,0.2541,.csv,Layer3_JcvPCA,2022-05-05 18:36:32,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_70_2.csv,316428,0.3018,.csv,Layer3_JcvPCA,2022-05-05 18:36:36,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_70_3.csv,286584,0.2733,.csv,Layer3_JcvPCA,2022-05-05 18:36:40,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_50_2.csv,298394,0.2846,.csv,Layer3_JcvPCA,2022-05-05 18:36:07,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_50_3.csv,291582,0.2781,.csv,Layer3_JcvPCA,2022-05-05 18:36:11,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Overuse_Elbow/data_nat_coude_50_1.csv,389046,0.371,.csv,Layer3_JcvPCA,2022-05-05 18:36:01,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_50_1.csv,205358,0.1958,.csv,Layer3_JcvPCA,2022-05-05 18:37:57,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_50_2.csv,195109,0.1861,.csv,Layer3_JcvPCA,2022-05-05 18:38:00,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_50_3.csv,198035,0.1889,.csv,Layer3_JcvPCA,2022-05-05 18:38:03,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_70_2.csv,186578,0.1779,.csv,Layer3_JcvPCA,2022-05-05 18:38:21,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_50_4.csv,222279,0.212,.csv,Layer3_JcvPCA,2022-05-05 18:38:06,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_70_1.csv,195728,0.1867,.csv,Layer3_JcvPCA,2022-05-05 18:38:18,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_60_1.csv,233990,0.2232,.csv,Layer3_JcvPCA,2022-05-05 18:38:09,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_60_3.csv,195615,0.1866,.csv,Layer3_JcvPCA,2022-05-05 18:38:15,reference_data,yes,
Layer3_JcvPCA/references/Data_from_the_paper_jcvPCA/Physiological/data_nat_n_60_2.csv,168388,0.1606,.csv,Layer3_JcvPCA,2022-05-05 18:38:12,reference_data,yes,
Layer3_JcvPCA/tests/test_preflight_ui.py,4141,0.0039,.py,Layer3_JcvPCA,2026-06-24 00:32:53,source_code,yes,
Layer3_JcvPCA/tests/test_workbench_preflight.py,10733,0.0102,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/conftest.py,1612,0.0015,.py,Layer3_JcvPCA,2026-06-24 00:33:41,source_code,yes,
Layer3_JcvPCA/tests/test_core_matches_paper_logic.py,4369,0.0042,.py,Layer3_JcvPCA,2026-06-23 16:46:18,source_code,yes,
Layer3_JcvPCA/tests/test_analysis_service.py,1310,0.0012,.py,Layer3_JcvPCA,2026-06-24 00:32:57,source_code,yes,
Layer3_JcvPCA/tests/test_feature_order.py,1213,0.0012,.py,Layer3_JcvPCA,2026-06-23 16:46:18,source_code,yes,
Layer3_JcvPCA/tests/test_inventory.py,7492,0.0071,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/test_comparable_links.py,6855,0.0065,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/test_rss_aggregation.py,2537,0.0024,.py,Layer3_JcvPCA,2026-06-23 16:46:18,source_code,yes,
Layer3_JcvPCA/tests/test_jcvpca_workbench_pipeline.py,6472,0.0062,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/test_workbench_pca_stability.py,3489,0.0033,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/test_input_validation.py,4077,0.0039,.py,Layer3_JcvPCA,2026-06-23 16:46:18,source_code,yes,
Layer3_JcvPCA/tests/test_pc_focus.py,8113,0.0077,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/test_matrix_stability.py,2744,0.0026,.py,Layer3_JcvPCA,2026-06-24 00:32:49,source_code,yes,
Layer3_JcvPCA/tests/test_pca_a.py,12421,0.0118,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/test_step_runner.py,10152,0.0097,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/tests/test_dataset_builder.py,11578,0.011,.py,Layer3_JcvPCA,2026-06-30 21:54:08,source_code,no,
Layer3_JcvPCA/docs/PHASE2_SCOPE.md,3346,0.0032,.md,Layer3_JcvPCA,2026-06-30 21:54:08,documentation,no,
Layer3_JcvPCA/docs/LAYER3_SCOPE.md,5637,0.0054,.md,Layer3_JcvPCA,2026-06-23 14:10:16,documentation,yes,
Layer3_JcvPCA/docs/LAYER3_UI_IMPLEMENTATION_REPORT.md,6731,0.0064,.md,Layer3_JcvPCA,2026-06-24 00:35:11,documentation,yes,
Layer3_JcvPCA/docs/METHOD_ADAPTATION_NOTES.md,2923,0.0028,.md,Layer3_JcvPCA,2026-06-23 16:46:18,documentation,yes,
Layer3_JcvPCA/docs/figures/.DS_Store,8196,0.0078,(none),Layer3_JcvPCA,2026-06-25 11:14:01,temporary_cache,no,
Layer3_JcvPCA/docs/figures/jcvpca_workflow/jcvpca_workflow_caption.txt,825,0.0008,.txt,Layer3_JcvPCA,2026-06-25 12:52:13,documentation,no,
Layer3_JcvPCA/docs/figures/jcvpca_workflow/generate_jcvpca_workflow_figure.py,11055,0.0105,.py,Layer3_JcvPCA,2026-06-30 21:54:08,documentation,no,
Layer3_JcvPCA/docs/figures/jcvpca_workflow/jcvpca_workflow_schematic.svg,141649,0.1351,.svg,Layer3_JcvPCA,2026-06-25 12:52:12,documentation,no,
Layer3_JcvPCA/docs/figures/jcvpca_workflow/jcvpca_workflow_schematic.png,617988,0.5894,.png,Layer3_JcvPCA,2026-06-25 12:52:13,documentation,no,
Layer3_JcvPCA/scripts/update_pc_focus_interpretation_artifacts.py,26033,0.0248,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_master_full_numeric_report.py,29783,0.0284,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_pc_focus_review.py,23802,0.0227,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/analyze_nullspace_link_stability.py,59543,0.0568,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_directional_robustness_t2_t3_full_numeric_report.py,41960,0.04,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/analyze_timepoint_link_contribution.py,18294,0.0174,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/analyze_natural_variability_deep_dive.py,32616,0.0311,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_natural_variability_full_numeric_report.py,18764,0.0179,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/run_pc_focus_p50_p60_sensitivity.py,25531,0.0243,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_poster_evidence_report.py,24790,0.0236,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_nullspace_full_numeric_report.py,26239,0.025,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/run_layer3_jcvpca.py,623,0.0006,.py,Layer3_JcvPCA,2026-06-23 16:46:18,script,yes,
Layer3_JcvPCA/scripts/generate_movement_organization_question_report.py,36207,0.0345,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/run_gaga_batch_jcvpca.py,1250,0.0012,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/analyze_directional_robustness_t2_t3.py,23594,0.0225,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/analyze_link_contribution_distribution.py,15369,0.0147,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/prepare_joint_heatmap_tables.py,39889,0.038,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/analyze_directional_robustness_t1_t3.py,30760,0.0293,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_poster_ready_evidence_package.py,63098,0.0602,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_directional_robustness_full_numeric_report.py,24870,0.0237,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_directional_robustness_t1_t2_full_numeric_report.py,37258,0.0355,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/generate_final_integrated_review.py,30314,0.0289,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/scripts/analyze_directional_robustness_t1_t2.py,21870,0.0209,.py,Layer3_JcvPCA,2026-06-30 21:54:08,script,no,
Layer3_JcvPCA/outputs/.DS_Store,20484,0.0195,(none),Layer3_JcvPCA,2026-06-27 15:16:11,temporary_cache,no,
Layer3_JcvPCA/outputs/.gitkeep,0,0.0,(none),Layer3_JcvPCA,2026-06-23 16:46:18,generated_output,yes,
Layer3_JcvPCA/outputs/layer3_jcvpca/sample_dry_validate/validation_report.json,2960,0.0028,.json,Layer3_JcvPCA,2026-06-23 15:26:31,generated_output,yes,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/pc_focus_sensitivity_results.csv,4329,0.0041,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/pc_focus_by_comparison.csv,2049,0.002,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/jcvpca_link_results_by_pc_focus.csv,1,0.0,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/dataset_construction_by_comparison.csv,865,0.0008,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/null_space_availability_report.csv,1888,0.0018,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/jcvpca_axis_results.csv,1598846,1.5248,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/export_attempts_report.csv,16351,0.0156,.csv,Layer3_JcvPCA,2026-06-26 22:31:10,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/selected_m_by_comparison.csv,2937,0.0028,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/jcvpca_axis_results_by_pc_focus.csv,1,0.0,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/nv_baseline_results.csv,16762,0.016,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparison_status.csv,5540,0.0053,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/exploratory_summary_results.csv,245323,0.234,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparison_status_by_focus.csv,4960,0.0047,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparable_links_by_comparison.csv,10588,0.0101,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/batch_summary.md,333,0.0003,.md,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/pca_stability_by_comparison.csv,47714,0.0455,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/jcvpca_link_results.csv,375708,0.3583,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/data_availability_report.csv,19045,0.0182,.csv,Layer3_JcvPCA,2026-06-26 22:31:10,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/excluded_links_by_comparison.csv,75,0.0001,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/batch_manifest.csv,572,0.0005,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/workbench_export_manifest.csv,2393,0.0023,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/preflight_by_comparison.csv,686,0.0007,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/plot_index.csv,7375,0.007,.csv,Layer3_JcvPCA,2026-06-26 22:31:58,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparison_plan.csv,1907,0.0018,.csv,Layer3_JcvPCA,2026-06-26 22:31:10,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/raw_dataset_B_preview.csv,22570,0.0215,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/link_level_jcvpca_unweighted.csv,12533,0.012,.csv,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pca_A_parameters.json,249,0.0002,.json,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/_loaded_dataset_A.parquet,6092128,5.8099,.parquet,Layer3_JcvPCA,2026-06-26 22:31:38,processed_data,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/centered_dataset_B_preview.csv,23562,0.0225,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pca_A_feature_names.csv,1066,0.001,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/axis_jcvpca_metadata.json,231,0.0002,.json,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pca_B_near_zero_variance_features.csv,191,0.0002,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/B_projected_preview.csv,4066,0.0039,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/_B_reexpressed_loadings.npy,3968,0.0038,.npy,Layer3_JcvPCA,2026-06-26 22:31:40,processed_data,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/nv_baseline.json,157,0.0001,.json,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/exploratory_numeric_summary.csv,9044,0.0086,.csv,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pca_A_loadings.csv,40370,0.0385,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/_A_abs_loadings.npy,3968,0.0038,.npy,Layer3_JcvPCA,2026-06-26 22:31:40,processed_data,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/centered_validation_report.csv,635,0.0006,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pca_stability_acknowledgment.json,124,0.0001,.json,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/A_vs_B_reexpressed_loadings_preview.csv,29740,0.0284,.csv,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/reexpress_metadata.json,159,0.0002,.json,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/_loaded_dataset_B.parquet,5870790,5.5988,.parquet,Layer3_JcvPCA,2026-06-26 22:31:38,processed_data,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/workbench_export_manifest.json,12377,0.0118,.json,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/main_vs_nv_descriptive_comparison.csv,1776,0.0017,.csv,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/B_reexpressed_loadings.csv,49900,0.0476,.csv,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pca_B_projected_explained_variance.csv,249,0.0002,.csv,Layer3_JcvPCA,2026-06-26 22:31:40,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pc_focus_table.csv,650,0.0006,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
Layer3_JcvPCA/outputs/gaga_batch_jcvpca_20260626_193110/comparisons/252_A_L2_T1_vs_T3/run_null_space_p2/pca_A_stability_report.csv,1485,0.0014,.csv,Layer3_JcvPCA,2026-06-26 22:31:39,generated_output,no,
