relative_path,size_mb,file_count,git_status,largest_file_types,largest_file_examples,likely_role,risk_level,recommendation,reason,notes
archive/2026-06-30_cleanup_stage_B/layer3_superseded_batches,1402.9,8232,ignored,".csv:637MB; .parquet:628MB; .npy:99MB; .png:29MB","13.9MB|gaga_batch_193110/.../dataset_B_preview.csv; 13.6MB|193110/.../dataset_A_preview.csv; 13.6MB|193110/.../dataset_A_preview.csv",old archive,low,move outside repo,"Five superseded Layer 3 batches; Stage A confirmed 193319 canonical","~1.4 GB; not referenced by poster scripts"
archive/2026-06-30_cleanup_stage_B/layer3_superseded_batches/gaga_batch_jcvpca_20260626_193110,769.3,4404,ignored,".parquet:375MB; .csv:314MB; .npy:59MB; .png:15MB","13.9MB|.../dataset_B_preview.csv; 13.6MB|.../dataset_A_preview.csv; 13.6MB|.../dataset_A_preview.csv",old archive,low,move outside repo,"Largest superseded batch; replaced by 193319","Safe to relocate with archive/"
archive/2026-06-30_cleanup_stage_B/layer2_5_scratch_archive,655.7,200,ignored,".csv:384MB; .parquet:270MB; .xlsx:0MB; .md:0MB","134.0MB|reevluate_project/layer2_session_filtered_rotvecs.parquet; 134.0MB|reevluate_project/filtered_relative_rotation_vectors.parquet; 62.7MB|outputs/archive/notebook_review/.../combined_qc_events.csv",scratch/workbench,low,move outside repo,"reevluate_project + old Layer 2.5 outputs/archive scratch moved in Stage B","Git-tracked reevluate files deleted in checkpoint commit"
archive/2026-06-30_cleanup_stage_B/layer3_superseded_batches/gaga_batch_jcvpca_20260626_193235,364.8,2244,ignored,".parquet:179MB; .csv:146MB; .npy:27MB; .png:8MB","12.3MB|671_A_L2_T1_vs_T3/.../dataset_B_preview.csv; 12.2MB|671_A_L1_T1_vs_T2/.../dataset_B_preview.csv; 11.6MB|671_A_L2_T1_vs_T3/.../dataset_A_preview.csv",old archive,low,move outside repo,"Superseded batch; replaced by 193319","Part of layer3_superseded_batches aggregate"
Layer2_Motive_Kinematics/outputs/layer2_exports,1049.5,50,ignored,".parquet:1049MB; .csv:0MB","176.7MB|252_T3_P1_R2/.../layer2_session_filtered_rotvecs.parquet; 175.1MB|252_T1_P1_R2/...; 174.6MB|252_T2_P1_R1/...",generated reproducible output,medium,keep on disk but hide/ignore from Git,"Parquet bundle for Layer 2.5 ingestion; gitignored","Regeneratable from session outputs"
671_test_data_des,232.1,3,tracked(3),".csv:232MB; .md:0MB","232.1MB|671_T1_P1_R1_Take 2026-01-06 03.57.12 PM_001.csv; 0.0MB|671_T1_P1_R1_Take..._DataDescriptions.csv; 0.0MB|README.md",raw-adjacent data,high,verify manually,"Stage A: not duplicate of Layer 1/Layer 2 export types; 232 MB root clutter","Not an outputs/ folder but heavy; 3 files tracked in Git"
archive/2026-06-30_cleanup_stage_B/layer3_superseded_batches/gaga_batch_jcvpca_20260626_175138,89.8,535,ignored,".csv:58MB; .parquet:24MB; .npy:4MB; .png:1MB","9.0MB|671_A_L1_T1_vs_T2/.../dataset_B_preview.csv; 8.5MB|.../dataset_A_preview.csv; 5.7MB|671_B_L1_T1_vs_T2/.../dataset_B_preview.csv",old archive,low,move outside repo,"Early superseded 671-focused batch","Duplicate footprint with 180044 (~90 MB each)"
archive/2026-06-30_cleanup_stage_B/layer3_superseded_batches/gaga_batch_jcvpca_20260626_180044,89.8,535,ignored,".csv:58MB; .parquet:24MB; .npy:4MB; .png:1MB","9.0MB|671_A_L1_T1_vs_T2/.../dataset_B_preview.csv; 8.5MB|.../dataset_A_preview.csv; 5.7MB|671_B_L1_T1_vs_T2/.../dataset_B_preview.csv",old archive,low,move outside repo,"Early superseded batch","Same era as 175138"
archive/2026-06-30_cleanup_stage_B/layer3_superseded_batches/gaga_batch_jcvpca_20260626_174553,89.2,514,ignored,".csv:58MB; .parquet:24MB; .npy:4MB; .png:1MB","9.0MB|671_A_L1_T1_vs_T2/.../dataset_B_preview.csv; 8.5MB|.../dataset_A_preview.csv; 5.7MB|671_B_L1_T1_vs_T2/.../dataset_B_preview.csv",old archive,low,move outside repo,"Earliest superseded batch in set","Smallest of early trio (~89 MB)"
Layer1_motive_qc/motive_qc/outputs,67.7,511,tracked(234)+mixed_ignore,".png:47MB; .csv:19MB; .md:0MB; .html:0MB","1.7MB|runs/252_T1_P1_R2/.../qc_mask.csv; 1.7MB|runs/252_T2_P1_R1/.../qc_mask.csv; 1.6MB|runs/671_T3_P1_R2/.../qc_mask.csv",generated reproducible output,medium,keep on disk but hide/ignore from Git,"Layer 1 QC plots and tables; runs/ gitignored for new files","234 tracked files remain; PNG-heavy"
